,Date,kW/h price daily mean,kW/h price daily std,Hydraulic availability,Thermal availability,Solar availability,Flow contribution (m3/s),Energy contribution (gWh),Daily volume (Mm3),Volume (Mm3),Daily useful volume (gWh),Energy volume (gWh),Volume shedding (m3),Energy shedding (gWh)
3449,2009-06-11,128.49293933333334,7.552969746580062,182.52339999999987,69.35499999999993,,1927.1690000000003,147.62479999999996,4504.442,6256.992,9074.1585165,10141.4702,2582.8729999999996,6.24480711144
3450,2009-06-12,120.99752266666668,9.934477368221758,188.7250000000001,70.44699999999993,,2214.854,205.52569999999997,4526.857000000001,6279.407000000001,9138.2665865,10205.5785,1764.79,4.145577169999999
3451,2009-06-13,103.57152266666668,12.29357234198165,191.40675000000013,69.72171999999999,,2932.385,282.43159999999995,4629.755999999999,6382.306,9280.6647493,10347.976499999997,3081.024,1.29613399694
3452,2009-06-14,103.06681433333335,3.0665716798655818,184.1330000000001,70.77417,,2681.4920000000006,200.60899999999995,4711.958,6464.508,9351.731719099998,10419.0434,3030.135,0.96694326802
3453,2009-06-15,97.28918933333335,5.296977535773841,185.21474999999978,70.87799999999999,,1875.8370000000002,143.53629999999998,4719.627,6472.177,9363.1648923,10430.4765,1290.816,0.435054984
3454,2009-06-16,100.21377266666669,7.271324249445878,185.34741999999997,66.31682999999997,,1717.3550000000005,137.47499999999997,4689.505999999999,6442.0560000000005,9356.597527899998,10423.909199999996,43.54600000000001,0.01299839405
3455,2009-06-17,102.22668933333335,5.834640122776962,183.77345000000014,66.98225999999994,,1808.4299999999994,147.5209,4655.183,6407.733000000001,9359.2873695,10426.5991,108.0,0.021762
3456,2009-06-18,105.39335600000004,3.5149138773542363,181.63737,69.36599999999994,,1405.8010000000004,107.62570000000001,4577.12,6329.67,9316.9117345,10384.2235,1409.702,0.62187437394
3457,2009-06-19,109.284606,4.470571709864803,182.60033000000004,69.36499999999994,,1607.9499999999998,107.39209999999999,4523.206,6275.755999999999,9276.612481,10343.924200000001,2433.9449999999997,1.23803534902
3458,2009-06-20,114.74752266666668,8.319590116715188,179.5092600000002,69.05604999999996,,1603.332,109.2489,4519.571,6272.120999999999,9252.143969100001,10319.4558,2652.4100000000003,1.7060538699999999
3459,2009-06-21,124.49752266666668,9.291085801041717,183.0359800000001,61.29119999999997,,1678.3209999999997,140.1756,4518.941,6271.491,9276.743288600002,10344.0551,3740.512,2.191529432
3460,2009-06-22,127.01835600000004,5.449995013958644,184.53608000000025,64.07632999999993,,2350.2400000000002,238.64630000000002,4597.728,6350.278,9379.7664989,10447.0782,9619.544,4.7807690439999995
3461,2009-06-23,137.70573100000004,12.895240953334884,185.1599500000003,63.22712999999995,,1870.003,151.2466,4591.744,6344.294000000002,9385.3593982,10452.671300000002,6004.067,3.17678375102
3462,2009-06-24,134.28918933333335,8.482291869672894,179.4390200000001,65.18192999999998,,1604.0579999999998,133.03690000000006,4568.804,6321.353999999999,9379.6741323,10446.985700000001,4411.659000000001,2.48437997108
