Date,Aportes Caudal m3/s_ANTIOQUIA,Aportes Energía kWh_ANTIOQUIA,Aportes %_ANTIOQUIA,Aportes Caudal m3/s_CENTRO,Aportes Energía kWh_CENTRO,Aportes %_CENTRO,Aportes Caudal m3/s_ORIENTE,Aportes Energía kWh_ORIENTE,Aportes %_ORIENTE,Aportes Caudal m3/s_RIOS ESTIMADOS,Aportes Energía kWh_RIOS ESTIMADOS,Aportes %_RIOS ESTIMADOS,Aportes Caudal m3/s_VALLE,Aportes Energía kWh_VALLE,Aportes %_VALLE,Aportes Caudal m3/s_CARIBE,Aportes Energía kWh_CARIBE,Aportes %_CARIBE,Caudal,Energia
2020-04-23,342.78000000000003,55770100.0,65.28188108384246,220.13,9315100.0,88.25802691059702,681.845,25560900.0,48.611569569978464,209.56799999999998,48641100.0,166.70800923363035,0.0,3030700.0,84.6564245810056,117.41,1298500.0,49.0,1571.7330000000002,143616400.0
2020-04-24,308.20199999999994,47287500.0,66.95793464279637,203.97,8590800.0,82.02316753856675,624.224,25574300.0,48.79642612603702,90.002,20632200.0,70.75696267109534,0.0,2189100.0,61.1480446927374,127.47,1409700.0,53.19622641509431,1353.868,105683600.0
2020-04-25,238.048,37209600.0,47.24733554985909,212.67000000000002,8484700.0,90.54692509234077,545.219,16927500.0,41.916733384737626,53.232,11954200.0,38.811513092434005,0.0,1668400.0,46.603351955307296,103.84,1148400.0,43.3358490566038,1153.009,77392800.0
2020-04-26,255.50400000000002,41106600.0,51.841402134436485,180.71999999999997,6871600.0,74.76510552034253,463.08299999999997,21222700.0,44.95554566422296,41.434,9196800.0,29.297333029405035,0.0,1859700.0,51.9469273743017,199.05,2201300.0,83.0679245283019,1139.791,82458700.0
2020-04-27,257.304,40265900.0,53.37335490475357,204.80999999999997,8212600.0,81.67855348099289,423.682,16656100.0,41.136733906893355,49.268,11720100.0,39.45152723957147,0.0,1706500.0,47.6675977653631,130.05,1438200.0,54.2716981132075,1065.114,79999400.0
2020-04-28,405.747,59350600.0,81.57178201263619,266.81,12623900.0,126.1714692427237,489.131,16212600.0,91.34747254334674,38.88,8918900.0,27.6700665024007,0.0,2170800.0,60.6368715083799,207.41,2293800.0,86.5584905660377,1407.9780000000003,101570600.0
2020-04-29,265.542,41935900.0,48.756769521878724,207.8,8830400.0,87.5136820354317,540.927,19043000.0,60.085947155875495,37.702,8433700.0,23.96794750724543,0.0,1738100.0,48.5502793296089,140.64,1555400.0,58.6943396226415,1192.6109999999999,81536500.0
2020-04-30,313.365,49716700.0,63.08701970922048,193.88,8002500.0,83.88626793324663,566.876,21556200.0,58.895105383034085,52.001999999999995,12034400.0,35.6044002662991,0.0,2031800.0,56.754189944134104,123.48,1365600.0,51.5320754716981,1249.603,94707200.0
2020-05-01,327.433,48031700.0,50.05052989023113,209.91,8707500.0,78.06819907616044,1072.6060000000002,37529900.0,97.41397809910943,275.51800000000003,62289000.0,125.71940704761863,0.0,2659600.0,70.1741424802111,177.98,1968300.0,41.9680170575693,2063.447,161186000.0
2020-05-02,249.053,38010700.0,40.047796857605235,212.05999999999997,8611300.0,83.47906693500643,766.6400000000001,30987000.0,75.33155815446042,160.656,38627300.0,91.88782150027619,0.0,1976000.0,52.1372031662269,147.77,1634200.0,34.8443496801706,1536.179,119846500.0
2020-05-03,268.94,43236700.0,44.917251929904026,229.62,10146600.0,95.28869350014362,712.9100000000001,28273600.0,55.436079113220856,224.42000000000002,55270100.0,124.32172773166155,0.0,2335100.0,61.61213720316619,173.4,1917700.0,40.8891257995736,1609.2900000000002,141179800.0
2020-05-04,280.84000000000003,47963500.0,47.77352197203768,185.96,7585900.0,74.27489042045026,584.263,21777900.0,43.9304457601306,142.6,36035400.0,89.08465339560297,0.0,1924000.0,50.765171503957795,183.16,2025600.0,43.1897654584222,1376.823,117312300.0
2020-05-05,359.33099999999996,57640600.0,60.266423489325746,161.3,6233800.0,63.431586349305164,737.0519999999999,24294300.0,56.47558163375119,124.07,29148000.0,60.570014111761765,0.0,2064000.0,54.4591029023747,311.04,3439900.0,73.3454157782516,1692.793,122820600.0
2020-05-06,265.15,42848900.0,49.41356046162786,164.45000000000002,6292100.0,65.73228064457695,671.565,28538400.0,51.14439707760546,118.49799999999999,26684800.0,46.23075365982243,0.0,1869500.0,49.3271767810026,344.94,3814800.0,81.33901918976551,1564.603,110048500.0
2020-05-07,271.806,41422700.0,44.64206827017103,168.69000000000003,6266800.0,66.38411484508326,728.8870000000001,36017600.0,64.91517242278287,468.47900000000004,110658900.0,251.5038538482107,0.0,3137600.0,82.7862796833773,231.0,2554700.0,54.4712153518124,1868.862,200058300.0
2020-05-08,218.064,34614500.0,39.27145928516045,167.68,5913900.0,64.37735783786394,781.9010000000001,39630500.0,64.85302534276094,212.75699999999998,52520000.0,123.0396714970084,0.0,2316400.0,61.1187335092348,395.48,4373700.0,93.2558635394456,1775.882,139369000.0
2020-05-09,200.861,31637900.0,34.982561125455575,181.17,5915500.0,72.24344381932082,1073.0720000000001,40908900.0,71.0507029811209,159.304,39214300.0,90.93649346426287,0.0,2132400.0,56.26385224274409,256.29,2834400.0,60.4349680170576,1870.6970000000001,122643400.0
2020-05-10,186.432,30319500.0,32.93948766595399,170.93,6421900.0,63.44161502608574,656.1270000000001,31330300.0,55.35617753961043,149.611,35939400.0,78.33129940173329,0.0,1838800.0,48.5171503957784,259.31,2867800.0,61.147121535181206,1422.4099999999999,108717700.0
2020-05-11,206.667,33335000.0,35.29892417843778,188.21,7720200.0,71.10277947960502,642.88,31727200.0,50.60861140633313,148.524,34028400.0,66.10487075680034,0.0,1890200.0,49.8733509234829,229.28,2535700.0,54.0660980810235,1415.561,111236700.0
